mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,astar,False,,11,0.15,2,0.5,34.5,21.9203,10.9526,4.5135,5891.5,,,
full,alpha_beta,astar,False,,11,0.25,2,0.5,21,7.0711,5.3304,1.1767,2836.5,,,
full,alpha_beta,astar,False,,13,0.15,2,0.5,39.5,14.8492,12.4611,4.7306,7016.5,,,
full,alpha_beta,astar,False,,13,0.25,2,0,35,21.2132,8.6154,3.3139,4410,,,
full,alpha_beta,astar,True,,11,0.15,2,1,27,11.3137,10.0623,3.3149,5034,,,
full,alpha_beta,astar,True,,11,0.25,2,0.5,17.5,2.1213,5.0989,1.4613,2503.5,,,
full,alpha_beta,astar,True,,13,0.15,2,0.5,39.5,14.8492,13.1457,4.9416,7075.5,,,
full,alpha_beta,astar,True,,13,0.25,2,0,35,21.2132,8.6546,3.6145,4342.5,,,
full,alpha_beta,beam,False,,11,0.15,2,0.5,34.5,21.9203,10.4945,5.7035,5904,,,
full,alpha_beta,beam,False,,11,0.25,2,0.5,21,7.0711,5.3602,1.8085,2836.5,,,
full,alpha_beta,beam,False,,13,0.15,2,0.5,39.5,14.8492,13.5497,5.119,7016.5,,,
full,alpha_beta,beam,False,,13,0.25,2,0,35,21.2132,8.3398,4.0046,4410,,,
full,alpha_beta,beam,True,,11,0.15,2,1,27,11.3137,9.6487,2.9894,5034,,,
full,alpha_beta,beam,True,,11,0.25,2,0.5,17.5,2.1213,5.5086,1.9219,2461,,,
full,alpha_beta,beam,True,,13,0.15,2,0.5,39.5,14.8492,13.7818,4.9057,7075.5,,,
full,alpha_beta,beam,True,,13,0.25,2,0,35,21.2132,8.7792,4.5518,4342.5,,,
full,alpha_beta,greedy,False,,11,0.15,2,0.5,34.5,21.9203,8.0084,1.4239,4444,,,
full,alpha_beta,greedy,False,,11,0.25,2,0.5,38,16.9706,10.2743,4.492,4777.5,,,
full,alpha_beta,greedy,False,,13,0.15,2,1,28,1.4142,9.6614,0.4394,4948.5,,,
full,alpha_beta,greedy,False,,13,0.25,2,0,35,21.2132,8.4431,3.9035,4410,,,
full,alpha_beta,greedy,True,,11,0.15,2,0.5,34.5,21.9203,7.9879,1.2716,4376.5,,,
full,alpha_beta,greedy,True,,11,0.25,2,0.5,21,7.0711,5.4436,2.8408,2727,,,
full,alpha_beta,greedy,True,,13,0.15,2,1,28,1.4142,9.8313,1.0773,5095,,,
full,alpha_beta,greedy,True,,13,0.25,2,0.5,39.5,14.8492,10.3442,1.2176,5167,,,
