mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,random,11,0.15,11150,False,,timeout,0,50,15236,25.0387,,,,
full,minimax,greedy,11,0.15,11150,False,,agent_win,1,19,9103,15.2581,,,,
full,minimax,beam,11,0.15,11150,False,,agent_win,1,19,9006,14.1056,,,,
full,minimax,astar,11,0.15,11150,False,,agent_win,1,19,9006,14.3296,,,,
full,alpha_beta,random,11,0.15,11150,False,,timeout,0,50,8036,15.7491,,,,
full,alpha_beta,greedy,11,0.15,11150,False,,agent_win,1,19,3827,7.0016,,,,
full,alpha_beta,beam,11,0.15,11150,False,,agent_win,1,19,3809,6.4615,,,,
full,alpha_beta,astar,11,0.15,11150,False,,agent_win,1,19,3784,7.7611,,,,
full,expectimax,random,11,0.15,11150,False,,timeout,0,50,15233,30.4845,,,,
full,expectimax,greedy,11,0.15,11150,False,,agent_win,1,19,8410,22.792,,,,
full,expectimax,beam,11,0.15,11150,False,,agent_win,1,19,8520,18.7808,,,,
full,expectimax,astar,11,0.15,11150,False,,agent_win,1,19,8575,17.8786,,,,
full,lrta,random,11,0.15,11150,False,,agent_win,1,25,0,0.1139,,,,
full,lrta,greedy,11,0.15,11150,False,,pursuer_win,0,5,0,0.028,,,,
full,lrta,beam,11,0.15,11150,False,,pursuer_win,0,5,0,0.0304,,,,
full,lrta,astar,11,0.15,11150,False,,pursuer_win,0,5,0,0.0319,,,,
full,hill_climb,random,11,0.15,11150,False,,timeout,0,50,135,0.5149,,,,
full,hill_climb,greedy,11,0.15,11150,False,,pursuer_win,0,5,50,0.2015,,,,
full,hill_climb,beam,11,0.15,11150,False,,pursuer_win,0,5,50,0.2175,,,,
full,hill_climb,astar,11,0.15,11150,False,,pursuer_win,0,5,50,0.2023,,,,
full,beam_search,random,11,0.15,11150,False,,agent_win,1,19,427,1.7071,,,,
full,beam_search,greedy,11,0.15,11150,False,,pursuer_win,0,5,183,0.6925,,,,
full,beam_search,beam,11,0.15,11150,False,,pursuer_win,0,5,183,0.6494,,,,
