mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,astar,False,,11,0.15,2,0.5,34.5,21.9203,10.371,5.251,5891.5,,,
full,alpha_beta,astar,False,,11,0.25,2,0.5,21,7.0711,5.501,2.2783,2836.5,,,
full,alpha_beta,astar,False,,13,0.15,2,0.5,39.5,14.8492,12.9853,4.8171,7016.5,,,
full,alpha_beta,astar,False,,13,0.25,2,0,35,21.2132,8.3432,3.2429,4410,,,
full,alpha_beta,astar,True,,11,0.15,2,1,27,11.3137,9.2529,3.6317,5034,,,
full,alpha_beta,astar,True,,11,0.25,2,0.5,17.5,2.1213,4.6855,1.5356,2503.5,,,
full,alpha_beta,astar,True,,13,0.15,2,0.5,39.5,14.8492,12.9272,4.8763,7075.5,,,
full,alpha_beta,astar,True,,13,0.25,2,0,35,21.2132,8.7838,3.7613,4342.5,,,
full,alpha_beta,beam,False,,11,0.15,2,0.5,34.5,21.9203,11.275,6.9085,5904,,,
full,alpha_beta,beam,False,,11,0.25,2,0.5,21,7.0711,5.4082,1.9322,2836.5,,,
full,alpha_beta,beam,False,,13,0.15,2,0.5,39.5,14.8492,12.6575,4.1671,7016.5,,,
full,alpha_beta,beam,False,,13,0.25,2,0,35,21.2132,8.2958,3.1273,4410,,,
full,alpha_beta,beam,True,,11,0.15,2,1,27,11.3137,10.0907,2.4434,5034,,,
full,alpha_beta,beam,True,,11,0.25,2,0.5,17.5,2.1213,4.6122,1.0293,2461,,,
full,alpha_beta,beam,True,,13,0.15,2,0.5,39.5,14.8492,13.5776,3.1786,7075.5,,,
full,alpha_beta,beam,True,,13,0.25,2,0,35,21.2132,9.2356,4.2752,4342.5,,,
full,alpha_beta,greedy,False,,11,0.15,2,0.5,34.5,21.9203,8.1117,2.0423,4444,,,
full,alpha_beta,greedy,False,,11,0.25,2,0.5,38,16.9706,8.5438,2.7366,4777.5,,,
full,alpha_beta,greedy,False,,13,0.15,2,1,28,1.4142,9.4194,1.1388,4948.5,,,
full,alpha_beta,greedy,False,,13,0.25,2,0,35,21.2132,8.574,3.2301,4410,,,
