mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,random,11,0.15,11150,False,,timeout,0,50,15236,23.4906,,,,
full,minimax,greedy,11,0.15,11150,False,,agent_win,1,19,9103,14.1252,,,,
full,minimax,beam,11,0.15,11150,False,,agent_win,1,19,9006,13.5054,,,,
full,minimax,astar,11,0.15,11150,False,,agent_win,1,19,9006,13.6406,,,,
full,alpha_beta,random,11,0.15,11150,False,,timeout,0,50,8036,14.2958,,,,
full,alpha_beta,greedy,11,0.15,11150,False,,agent_win,1,19,3827,6.6675,,,,
full,alpha_beta,beam,11,0.15,11150,False,,agent_win,1,19,3809,6.3899,,,,
full,alpha_beta,astar,11,0.15,11150,False,,agent_win,1,19,3784,6.6579,,,,
full,expectimax,random,11,0.15,11150,False,,timeout,0,50,15233,30.1863,,,,
full,expectimax,greedy,11,0.15,11150,False,,agent_win,1,19,8410,17.1373,,,,
full,expectimax,beam,11,0.15,11150,False,,agent_win,1,19,8520,17.8641,,,,
full,expectimax,astar,11,0.15,11150,False,,agent_win,1,19,8575,18.8277,,,,
full,lrta,random,11,0.15,11150,False,,agent_win,1,25,0,0.1529,,,,
full,lrta,greedy,11,0.15,11150,False,,pursuer_win,0,5,0,0.0526,,,,
full,lrta,beam,11,0.15,11150,False,,pursuer_win,0,5,0,0.0483,,,,
full,lrta,astar,11,0.15,11150,False,,pursuer_win,0,5,0,0.0291,,,,
full,hill_climb,random,11,0.15,11150,False,,timeout,0,50,135,0.4183,,,,
full,hill_climb,greedy,11,0.15,11150,False,,pursuer_win,0,5,50,0.1702,,,,
full,hill_climb,beam,11,0.15,11150,False,,pursuer_win,0,5,50,0.1733,,,,
full,hill_climb,astar,11,0.15,11150,False,,pursuer_win,0,5,50,0.1735,,,,
full,beam_search,random,11,0.15,11150,False,,agent_win,1,19,427,1.4539,,,,
full,beam_search,greedy,11,0.15,11150,False,,pursuer_win,0,5,183,0.6217,,,,
full,beam_search,beam,11,0.15,11150,False,,pursuer_win,0,5,183,0.6201,,,,
full,beam_search,astar,11,0.15,11150,False,,pursuer_win,0,5,183,0.6393,,,,
full,minimax,random,11,0.15,11150,True,,agent_win,1,19,8726,13.5864,,,,
full,minimax,greedy,11,0.15,11150,True,,agent_win,1,19,8830,13.7301,,,,
full,minimax,beam,11,0.15,11150,True,,agent_win,1,19,9031,14.375,,,,
full,minimax,astar,11,0.15,11150,True,,agent_win,1,19,9031,14.5721,,,,
full,alpha_beta,random,11,0.15,11150,True,,agent_win,1,19,3775,6.4274,,,,
full,alpha_beta,greedy,11,0.15,11150,True,,agent_win,1,19,3748,7.1036,,,,
full,alpha_beta,beam,11,0.15,11150,True,,agent_win,1,19,3843,8.3629,,,,
full,alpha_beta,astar,11,0.15,11150,True,,agent_win,1,19,3843,6.6849,,,,
full,expectimax,random,11,0.15,11150,True,,agent_win,1,44,16924,35.418,,,,
full,expectimax,greedy,11,0.15,11150,True,,agent_win,1,19,9126,19.2664,,,,
full,expectimax,beam,11,0.15,11150,True,,agent_win,1,19,9115,19.0174,,,,
full,expectimax,astar,11,0.15,11150,True,,agent_win,1,19,8945,18.2177,,,,
full,lrta,random,11,0.15,11150,True,,pursuer_win,0,6,0,0.0335,,,,
full,lrta,greedy,11,0.15,11150,True,,pursuer_win,0,5,0,0.0223,,,,
full,lrta,beam,11,0.15,11150,True,,pursuer_win,0,5,0,0.0262,,,,
full,lrta,astar,11,0.15,11150,True,,pursuer_win,0,5,0,0.0261,,,,
full,hill_climb,random,11,0.15,11150,True,,pursuer_win,0,6,57,0.2131,,,,
full,hill_climb,greedy,11,0.15,11150,True,,pursuer_win,0,5,50,0.174,,,,
full,hill_climb,beam,11,0.15,11150,True,,pursuer_win,0,5,50,0.187,,,,
full,hill_climb,astar,11,0.15,11150,True,,pursuer_win,0,5,50,0.2196,,,,
full,beam_search,random,11,0.15,11150,True,,pursuer_win,0,6,216,0.8037,,,,
full,beam_search,greedy,11,0.15,11150,True,,pursuer_win,0,5,183,0.652,,,,
full,beam_search,beam,11,0.15,11150,True,,pursuer_win,0,5,183,0.6857,,,,
full,beam_search,astar,11,0.15,11150,True,,pursuer_win,0,5,183,0.6493,,,,
full,minimax,random,11,0.15,11151,False,,timeout,0,50,13050,20.309,,,,
full,minimax,greedy,11,0.15,11151,False,,timeout,0,50,9753,15.2908,,,,
full,minimax,beam,11,0.15,11151,False,,timeout,0,50,16577,25.8204,,,,
full,minimax,astar,11,0.15,11151,False,,timeout,0,50,16577,25.2331,,,,
full,alpha_beta,random,11,0.15,11151,False,,timeout,0,50,7084,12.7853,,,,
full,alpha_beta,greedy,11,0.15,11151,False,,timeout,0,50,5061,9.5558,,,,
full,alpha_beta,beam,11,0.15,11151,False,,timeout,0,50,7999,16.16,,,,
full,alpha_beta,astar,11,0.15,11151,False,,timeout,0,50,7999,14.084,,,,
full,expectimax,random,11,0.15,11151,False,,timeout,0,50,13050,28.4801,,,,
full,expectimax,greedy,11,0.15,11151,False,,timeout,0,50,9753,20.5329,,,,
full,expectimax,beam,11,0.15,11151,False,,pursuer_win,0,21,6605,14.0785,,,,
full,expectimax,astar,11,0.15,11151,False,,pursuer_win,0,21,6605,14.6387,,,,
full,lrta,random,11,0.15,11151,False,,pursuer_win,0,14,0,0.0649,,,,
full,lrta,greedy,11,0.15,11151,False,,agent_win,1,21,0,0.0913,,,,
full,lrta,beam,11,0.15,11151,False,,pursuer_win,0,14,0,0.074,,,,
full,lrta,astar,11,0.15,11151,False,,pursuer_win,0,10,0,0.0549,,,,
full,hill_climb,random,11,0.15,11151,False,,timeout,0,50,99,0.3281,,,,
full,hill_climb,greedy,11,0.15,11151,False,,timeout,0,50,99,0.3307,,,,
full,hill_climb,beam,11,0.15,11151,False,,timeout,0,50,99,0.385,,,,
full,hill_climb,astar,11,0.15,11151,False,,pursuer_win,0,12,42,0.1746,,,,
full,beam_search,random,11,0.15,11151,False,,pursuer_win,0,11,349,1.2482,,,,
full,beam_search,greedy,11,0.15,11151,False,,agent_win,1,19,448,1.6627,,,,
full,beam_search,beam,11,0.15,11151,False,,pursuer_win,0,12,369,1.3156,,,,
full,beam_search,astar,11,0.15,11151,False,,pursuer_win,0,9,303,1.0883,,,,
full,minimax,random,11,0.15,11151,True,,timeout,0,50,12210,19.8293,,,,
full,minimax,greedy,11,0.15,11151,True,,timeout,0,50,10824,17.035,,,,
full,minimax,beam,11,0.15,11151,True,,agent_win,1,35,13469,21.2219,,,,
full,minimax,astar,11,0.15,11151,True,,agent_win,1,35,13469,21.2193,,,,
full,alpha_beta,random,11,0.15,11151,True,,timeout,0,50,6295,10.8648,,,,
full,alpha_beta,greedy,11,0.15,11151,True,,timeout,0,50,5005,9.1872,,,,
full,alpha_beta,beam,11,0.15,11151,True,,agent_win,1,35,6225,11.8184,,,,
full,alpha_beta,astar,11,0.15,11151,True,,agent_win,1,35,6225,11.8209,,,,
full,expectimax,random,11,0.15,11151,True,,timeout,0,50,12678,26.5984,,,,
full,expectimax,greedy,11,0.15,11151,True,,timeout,0,50,10824,23.0136,,,,
full,expectimax,beam,11,0.15,11151,True,,timeout,0,50,16923,33.7742,,,,
full,expectimax,astar,11,0.15,11151,True,,timeout,0,50,16923,34.1711,,,,
full,lrta,random,11,0.15,11151,True,,pursuer_win,0,12,0,0.0646,,,,
full,lrta,greedy,11,0.15,11151,True,,agent_win,1,25,0,0.125,,,,
full,lrta,beam,11,0.15,11151,True,,pursuer_win,0,18,0,0.1014,,,,
full,lrta,astar,11,0.15,11151,True,,pursuer_win,0,13,0,0.0721,,,,
full,hill_climb,random,11,0.15,11151,True,,agent_win,1,35,150,0.5409,,,,
full,hill_climb,greedy,11,0.15,11151,True,,pursuer_win,0,43,111,0.37,,,,
full,hill_climb,beam,11,0.15,11151,True,,pursuer_win,0,46,93,0.3544,,,,
full,hill_climb,astar,11,0.15,11151,True,,pursuer_win,0,18,51,0.2062,,,,
full,beam_search,random,11,0.15,11151,True,,agent_win,1,19,458,1.6306,,,,
full,beam_search,greedy,11,0.15,11151,True,,agent_win,1,23,635,2.2804,,,,
full,beam_search,beam,11,0.15,11151,True,,pursuer_win,0,15,531,1.9852,,,,
full,beam_search,astar,11,0.15,11151,True,,pursuer_win,0,12,454,2.3782,,,,
full,minimax,random,11,0.25,11250,False,,agent_win,1,19,5083,7.8748,,,,
full,minimax,greedy,11,0.25,11250,False,,agent_win,1,26,7472,11.636,,,,
full,minimax,beam,11,0.25,11250,False,,agent_win,1,26,7334,11.7662,,,,
full,minimax,astar,11,0.25,11250,False,,agent_win,1,26,7334,11.9225,,,,
full,alpha_beta,random,11,0.25,11250,False,,agent_win,1,19,2243,4.2936,,,,
full,alpha_beta,greedy,11,0.25,11250,False,,agent_win,1,26,3632,6.6087,,,,
full,alpha_beta,beam,11,0.25,11250,False,,agent_win,1,26,3475,6.7744,,,,
full,alpha_beta,astar,11,0.25,11250,False,,agent_win,1,26,3475,7.112,,,,
full,expectimax,random,11,0.25,11250,False,,agent_win,1,19,5083,10.4229,,,,
full,expectimax,greedy,11,0.25,11250,False,,agent_win,1,28,8881,17.9243,,,,
full,expectimax,beam,11,0.25,11250,False,,agent_win,1,28,9171,18.1345,,,,
full,expectimax,astar,11,0.25,11250,False,,agent_win,1,19,6728,15.2166,,,,
full,lrta,random,11,0.25,11250,False,,agent_win,1,19,0,0.0896,,,,
full,lrta,greedy,11,0.25,11250,False,,pursuer_win,0,14,0,0.0645,,,,
full,lrta,beam,11,0.25,11250,False,,pursuer_win,0,14,0,0.0796,,,,
full,lrta,astar,11,0.25,11250,False,,pursuer_win,0,14,0,0.0786,,,,
full,hill_climb,random,11,0.25,11250,False,,agent_win,1,19,210,0.7953,,,,
full,hill_climb,greedy,11,0.25,11250,False,,pursuer_win,0,14,189,0.715,,,,
full,hill_climb,beam,11,0.25,11250,False,,pursuer_win,0,14,189,0.8144,,,,
full,hill_climb,astar,11,0.25,11250,False,,pursuer_win,0,14,189,1.3669,,,,
full,beam_search,random,11,0.25,11250,False,,agent_win,1,19,396,1.3453,,,,
full,beam_search,greedy,11,0.25,11250,False,,pursuer_win,0,14,355,1.2147,,,,
full,beam_search,beam,11,0.25,11250,False,,pursuer_win,0,14,355,1.3276,,,,
full,beam_search,astar,11,0.25,11250,False,,pursuer_win,0,14,355,1.2386,,,,
full,minimax,random,11,0.25,11250,True,,agent_win,1,19,5165,7.8924,,,,
full,minimax,greedy,11,0.25,11250,True,,agent_win,1,26,7042,11.6504,,,,
full,minimax,beam,11,0.25,11250,True,,agent_win,1,19,5938,9.6477,,,,
full,minimax,astar,11,0.25,11250,True,,agent_win,1,19,5868,9.0049,,,,
full,alpha_beta,random,11,0.25,11250,True,,agent_win,1,19,2406,4.7049,,,,
full,alpha_beta,greedy,11,0.25,11250,True,,agent_win,1,26,3463,5.9107,,,,
full,alpha_beta,beam,11,0.25,11250,True,,agent_win,1,19,2948,5.34,,,,
full,alpha_beta,astar,11,0.25,11250,True,,agent_win,1,19,3025,5.7713,,,,
full,expectimax,random,11,0.25,11250,True,,agent_win,1,19,5165,11.502,,,,
full,expectimax,greedy,11,0.25,11250,True,,agent_win,1,32,10533,21.88,,,,
full,expectimax,beam,11,0.25,11250,True,,agent_win,1,32,10823,22.2554,,,,
full,expectimax,astar,11,0.25,11250,True,,agent_win,1,19,6472,13.4456,,,,
full,lrta,random,11,0.25,11250,True,,agent_win,1,19,0,0.0974,,,,
full,lrta,greedy,11,0.25,11250,True,,pursuer_win,0,14,0,0.0675,,,,
full,lrta,beam,11,0.25,11250,True,,agent_win,1,19,0,0.1133,,,,
full,lrta,astar,11,0.25,11250,True,,agent_win,1,19,0,0.1064,,,,
full,hill_climb,random,11,0.25,11250,True,,agent_win,1,19,210,0.7668,,,,
full,hill_climb,greedy,11,0.25,11250,True,,pursuer_win,0,14,189,0.6774,,,,
full,hill_climb,beam,11,0.25,11250,True,,agent_win,1,19,210,0.8521,,,,
full,hill_climb,astar,11,0.25,11250,True,,agent_win,1,19,210,0.9262,,,,
full,beam_search,random,11,0.25,11250,True,,agent_win,1,19,394,1.5575,,,,
full,beam_search,greedy,11,0.25,11250,True,,pursuer_win,0,14,352,1.2209,,,,
full,beam_search,beam,11,0.25,11250,True,,agent_win,1,19,393,1.3947,,,,
full,beam_search,astar,11,0.25,11250,True,,agent_win,1,19,393,1.393,,,,
full,minimax,random,11,0.25,11251,False,,timeout,0,50,10557,16.833,,,,
full,minimax,greedy,11,0.25,11251,False,,timeout,0,50,11897,19.3766,,,,
full,minimax,beam,11,0.25,11251,False,,pursuer_win,0,16,5029,8.0819,,,,
full,minimax,astar,11,0.25,11251,False,,pursuer_win,0,16,5029,8.6592,,,,
full,alpha_beta,random,11,0.25,11251,False,,timeout,0,50,4770,9.5169,,,,
full,alpha_beta,greedy,11,0.25,11251,False,,timeout,0,50,5923,10.4789,,,,
full,alpha_beta,beam,11,0.25,11251,False,,pursuer_win,0,16,2198,4.0419,,,,
full,alpha_beta,astar,11,0.25,11251,False,,pursuer_win,0,16,2198,3.89,,,,
full,expectimax,random,11,0.25,11251,False,,timeout,0,50,10638,22.8723,,,,
full,expectimax,greedy,11,0.25,11251,False,,timeout,0,50,11955,25.8908,,,,
full,expectimax,beam,11,0.25,11251,False,,pursuer_win,0,17,5119,11.2321,,,,
full,expectimax,astar,11,0.25,11251,False,,pursuer_win,0,17,5119,10.7923,,,,
full,lrta,random,11,0.25,11251,False,,agent_win,1,25,0,0.1134,,,,
full,lrta,greedy,11,0.25,11251,False,,pursuer_win,0,16,0,0.0689,,,,
full,lrta,beam,11,0.25,11251,False,,pursuer_win,0,15,0,0.0779,,,,
full,lrta,astar,11,0.25,11251,False,,pursuer_win,0,15,0,0.0785,,,,
full,hill_climb,random,11,0.25,11251,False,,timeout,0,50,159,0.5426,,,,
full,hill_climb,greedy,11,0.25,11251,False,,timeout,0,50,159,0.5275,,,,
full,hill_climb,beam,11,0.25,11251,False,,pursuer_win,0,16,108,0.5086,,,,
full,hill_climb,astar,11,0.25,11251,False,,pursuer_win,0,16,108,0.4681,,,,
full,beam_search,random,11,0.25,11251,False,,agent_win,1,19,448,1.6305,,,,
full,beam_search,greedy,11,0.25,11251,False,,pursuer_win,0,13,389,1.2781,,,,
