mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,astar,False,,11,0.25,1,1,26,0.0,7.0357,0.0,3475,,,
full,alpha_beta,beam,False,,11,0.25,1,1,26,0.0,6.0696,0.0,3475,,,
full,alpha_beta,greedy,False,,11,0.25,1,1,26,0.0,7.2354,0.0,3632,,,
full,alpha_beta,random,False,,11,0.25,1,1,19,0.0,4.2142,0.0,2243,,,
full,beam_search,astar,False,,11,0.25,1,0,14,0.0,1.7717,0.0,355,,,
full,beam_search,beam,False,,11,0.25,1,0,14,0.0,1.4197,0.0,355,,,
full,beam_search,greedy,False,,11,0.25,1,0,14,0.0,1.2568,0.0,355,,,
full,beam_search,random,False,,11,0.25,1,1,19,0.0,1.3564,0.0,396,,,
full,expectimax,astar,False,,11,0.25,1,1,19,0.0,14.1537,0.0,6728,,,
full,expectimax,beam,False,,11,0.25,1,1,28,0.0,19.2446,0.0,9171,,,
full,expectimax,greedy,False,,11,0.25,1,1,28,0.0,20.9192,0.0,8881,,,
full,expectimax,random,False,,11,0.25,1,1,19,0.0,11.6379,0.0,5083,,,
full,hill_climb,astar,False,,11,0.25,1,0,14,0.0,0.7365,0.0,189,,,
full,hill_climb,beam,False,,11,0.25,1,0,14,0.0,0.7507,0.0,189,,,
full,hill_climb,greedy,False,,11,0.25,1,0,14,0.0,0.7495,0.0,189,,,
full,hill_climb,random,False,,11,0.25,1,1,19,0.0,0.8394,0.0,210,,,
full,lrta,astar,False,,11,0.25,1,0,14,0.0,0.0789,0.0,0,,,
full,lrta,beam,False,,11,0.25,1,0,14,0.0,0.0818,0.0,0,,,
full,lrta,greedy,False,,11,0.25,1,0,14,0.0,0.0665,0.0,0,,,
full,lrta,random,False,,11,0.25,1,1,19,0.0,0.1042,0.0,0,,,
full,minimax,astar,False,,11,0.25,1,1,26,0.0,12.2954,0.0,7334,,,
full,minimax,beam,False,,11,0.25,1,1,26,0.0,12.4961,0.0,7334,,,
full,minimax,greedy,False,,11,0.25,1,1,26,0.0,12.3205,0.0,7472,,,
full,minimax,random,False,,11,0.25,1,1,19,0.0,8.0609,0.0,5083,,,
partial,exploration,astar,False,2,11,0.25,1,0,4,0.0,0.065,0.0,,0.1736,0,
partial,exploration,astar,False,4,11,0.25,1,0,4,0.0,0.0873,0.0,,0.3306,0,
partial,exploration,astar,False,6,11,0.25,1,0,4,0.0,0.0645,0.0,,0.5124,0,
partial,exploration,beam,False,2,11,0.25,1,0,4,0.0,0.065,0.0,,0.1736,0,
partial,exploration,beam,False,4,11,0.25,1,0,4,0.0,0.0875,0.0,,0.3306,0,
partial,exploration,beam,False,6,11,0.25,1,0,4,0.0,0.064,0.0,,0.5124,0,
partial,exploration,greedy,False,2,11,0.25,1,0,4,0.0,0.0564,0.0,,0.1736,0,
partial,exploration,greedy,False,4,11,0.25,1,0,4,0.0,0.0865,0.0,,0.3306,0,
partial,exploration,greedy,False,6,11,0.25,1,0,4,0.0,0.066,0.0,,0.5124,0,
partial,exploration,random,False,2,11,0.25,1,0,6,0.0,0.0956,0.0,,0.2231,0,
partial,exploration,random,False,4,11,0.25,1,0,6,0.0,0.0937,0.0,,0.405,0,
partial,exploration,random,False,6,11,0.25,1,0,6,0.0,0.1619,0.0,,0.5868,0,
partial,online_astar,astar,False,2,11,0.25,1,0,4,0.0,1.4227,0.0,,0.1736,0,
partial,online_astar,astar,False,4,11,0.25,1,0,4,0.0,1.427,0.0,,0.3306,0,
partial,online_astar,astar,False,6,11,0.25,1,0,4,0.0,1.4324,0.0,,0.5124,0,
partial,online_astar,beam,False,2,11,0.25,1,0,4,0.0,1.4761,0.0,,0.1736,0,
partial,online_astar,beam,False,4,11,0.25,1,0,4,0.0,1.3735,0.0,,0.3306,0,
partial,online_astar,beam,False,6,11,0.25,1,0,4,0.0,1.4236,0.0,,0.5124,0,
partial,online_astar,greedy,False,2,11,0.25,1,0,4,0.0,1.3577,0.0,,0.1736,0,
partial,online_astar,greedy,False,4,11,0.25,1,0,4,0.0,1.6105,0.0,,0.3306,0,
partial,online_astar,greedy,False,6,11,0.25,1,0,4,0.0,1.4123,0.0,,0.5124,0,
partial,online_astar,random,False,2,11,0.25,1,0,6,0.0,1.7871,0.0,,0.2231,0,
partial,online_astar,random,False,4,11,0.25,1,0,6,0.0,1.852,0.0,,0.405,0,
partial,online_astar,random,False,6,11,0.25,1,0,6,0.0,1.5748,0.0,,0.5868,0,
