mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,greedy,False,,13,0.15,5,0.8,30.8,10.9636,8.7873,0.596,4733,,,
full,alpha_beta,greedy,False,,13,0.25,5,0,44,13.4164,10.3451,6.6497,5004.8,,,
full,alpha_beta,greedy,False,,13,0.35,5,0.2,46.8,7.1554,9.2738,5.9797,4822,,,
full,alpha_beta,greedy,False,,17,0.15,5,0.2,46.2,8.4971,11.2779,5.2697,5771.6,,,
full,alpha_beta,greedy,False,,17,0.25,5,0,50,0.0,9.2101,4.5242,4725.4,,,
full,alpha_beta,greedy,False,,17,0.35,5,0,50,0.0,7.0517,2.4162,3544.6,,,
full,alpha_beta,greedy,False,,21,0.15,5,0,50,0.0,12.9999,5.5768,6753.4,,,
full,alpha_beta,greedy,False,,21,0.25,5,0,50,0.0,10.5531,2.0331,5337.8,,,
full,alpha_beta,greedy,False,,21,0.35,5,0,50,0.0,8.0256,1.1488,3972,,,
full,alpha_beta,greedy,True,,11,0.15,5,0.6,31.4,16.9794,9.4512,4.2276,4696,,,
full,alpha_beta,greedy,True,,11,0.25,5,0.8,22.6,6.8775,6.1144,1.4325,3177.2,,,
full,alpha_beta,greedy,True,,11,0.35,5,0.4,37.6,16.9794,8.0461,5.0178,3944,,,
full,alpha_beta,greedy,True,,13,0.15,5,0.8,30.8,10.9636,8.8831,1.0546,4711.6,,,
full,alpha_beta,greedy,True,,13,0.25,5,0.8,31.4,10.7842,8.0817,2.9878,4131.2,,,
full,alpha_beta,greedy,True,,13,0.35,5,0,38.2,16.3463,6.8342,2.2189,3505.8,,,
full,alpha_beta,greedy,True,,17,0.15,5,0.2,46.2,8.4971,10.8116,3.4233,5476.2,,,
full,alpha_beta,greedy,True,,17,0.25,5,0,50,0.0,9.9838,3.1102,4987.8,,,
full,alpha_beta,greedy,True,,17,0.35,5,0,50,0.0,6.6851,2.7456,3382,,,
full,alpha_beta,greedy,True,,21,0.15,5,0.2,48.6,3.1305,14.5711,3.9603,7462,,,
full,alpha_beta,greedy,True,,21,0.25,5,0,50,0.0,10.5161,1.6961,5169.6,,,
full,alpha_beta,greedy,True,,21,0.35,5,0,50,0.0,9.8749,2.6446,4837.8,,,
full,alpha_beta,random,False,,11,0.15,5,0.6,37.4,12.4016,10.7855,2.4011,5912,,,
full,alpha_beta,random,False,,11,0.25,5,0.6,31.8,16.6343,7.1283,2.4539,3742.6,,,
full,alpha_beta,random,False,,11,0.35,5,0.2,47,6.7082,8.0224,1.7584,4210.4,,,
full,alpha_beta,random,False,,13,0.15,5,0.4,39.2,14.7885,10.4426,3.0946,5604.6,,,
full,alpha_beta,random,False,,13,0.25,5,0.2,45,11.1803,11.1564,4.9725,6004.2,,,
full,alpha_beta,random,False,,13,0.35,5,0,50,0.0,9.2479,4.2859,4393,,,
full,alpha_beta,random,False,,17,0.15,5,0.4,42.4,10.4067,10.4393,4.6357,5292.2,,,
full,alpha_beta,random,False,,17,0.25,5,0,50,0.0,10.0,2.836,5182.8,,,
full,alpha_beta,random,False,,17,0.35,5,0,50,0.0,8.0722,3.0921,4141.2,,,
full,alpha_beta,random,False,,21,0.15,5,0,50,0.0,13.2672,3.8523,6818.4,,,
full,alpha_beta,random,False,,21,0.25,5,0.2,48.2,4.0249,9.7043,3.0255,4959.4,,,
full,alpha_beta,random,False,,21,0.35,5,0,50,0.0,9.5276,2.1922,4794.8,,,
full,alpha_beta,random,True,,11,0.15,5,0.4,40.4,14.0464,12.0767,3.5845,6421.4,,,
