mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.25,11250,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.25,11251,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.25,11251,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.35,11352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.35,11352,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,13,0.35,13350,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,13,0.35,13350,True,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,beam,13,0.35,13352,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,13,0.35,13352,False,,error,0,,,,,,,AssertionError: Start is a wall
