mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,random,11,0.15,11150,False,,timeout,0,50,15236,22.3151,,,,
full,minimax,greedy,11,0.15,11150,False,,agent_win,1,19,9103,14.3026,,,,
full,minimax,beam,11,0.15,11150,False,,agent_win,1,19,9006,14.0522,,,,
full,minimax,astar,11,0.15,11150,False,,agent_win,1,19,9006,14.0013,,,,
full,alpha_beta,random,11,0.15,11150,False,,timeout,0,50,8036,13.5653,,,,
full,alpha_beta,greedy,11,0.15,11150,False,,agent_win,1,19,3827,6.8279,,,,
full,alpha_beta,beam,11,0.15,11150,False,,agent_win,1,19,3809,6.9203,,,,
full,alpha_beta,astar,11,0.15,11150,False,,agent_win,1,19,3784,7.0667,,,,
full,expectimax,random,11,0.15,11150,False,,timeout,0,50,15233,32.7922,,,,
full,expectimax,greedy,11,0.15,11150,False,,agent_win,1,19,8410,20.2376,,,,
full,expectimax,beam,11,0.15,11150,False,,agent_win,1,19,8520,19.861,,,,
full,expectimax,astar,11,0.15,11150,False,,agent_win,1,19,8575,18.858,,,,
full,lrta,random,11,0.15,11150,False,,agent_win,1,25,0,0.182,,,,
full,lrta,greedy,11,0.15,11150,False,,pursuer_win,0,5,0,0.032,,,,
full,lrta,beam,11,0.15,11150,False,,pursuer_win,0,5,0,0.0284,,,,
full,lrta,astar,11,0.15,11150,False,,pursuer_win,0,5,0,0.0295,,,,
full,hill_climb,random,11,0.15,11150,False,,timeout,0,50,135,0.787,,,,
full,hill_climb,greedy,11,0.15,11150,False,,pursuer_win,0,5,50,0.1985,,,,
full,hill_climb,beam,11,0.15,11150,False,,pursuer_win,0,5,50,0.2782,,,,
full,hill_climb,astar,11,0.15,11150,False,,pursuer_win,0,5,50,0.2005,,,,
full,beam_search,random,11,0.15,11150,False,,agent_win,1,19,427,1.7932,,,,
full,beam_search,greedy,11,0.15,11150,False,,pursuer_win,0,5,183,1.1636,,,,
full,beam_search,beam,11,0.15,11150,False,,pursuer_win,0,5,183,1.2322,,,,
full,beam_search,astar,11,0.15,11150,False,,pursuer_win,0,5,183,0.7586,,,,
full,minimax,random,11,0.15,11150,True,,agent_win,1,19,8726,19.6042,,,,
full,minimax,greedy,11,0.15,11150,True,,agent_win,1,19,8830,15.9238,,,,
full,minimax,beam,11,0.15,11150,True,,agent_win,1,19,9031,17.069,,,,
full,minimax,astar,11,0.15,11150,True,,agent_win,1,19,9031,16.3596,,,,
full,alpha_beta,random,11,0.15,11150,True,,agent_win,1,19,3775,8.1833,,,,
full,alpha_beta,greedy,11,0.15,11150,True,,agent_win,1,19,3748,9.0842,,,,
full,alpha_beta,beam,11,0.15,11150,True,,agent_win,1,19,3843,7.3974,,,,
full,alpha_beta,astar,11,0.15,11150,True,,agent_win,1,19,3843,7.5532,,,,
full,expectimax,random,11,0.15,11150,True,,agent_win,1,44,16924,35.4511,,,,
full,expectimax,greedy,11,0.15,11150,True,,agent_win,1,19,9126,20.0979,,,,
full,expectimax,beam,11,0.15,11150,True,,agent_win,1,19,9115,19.4111,,,,
full,expectimax,astar,11,0.15,11150,True,,agent_win,1,19,8945,25.8013,,,,
full,lrta,random,11,0.15,11150,True,,pursuer_win,0,6,0,0.038,,,,
full,lrta,greedy,11,0.15,11150,True,,pursuer_win,0,5,0,0.0214,,,,
full,lrta,beam,11,0.15,11150,True,,pursuer_win,0,5,0,0.0257,,,,
full,lrta,astar,11,0.15,11150,True,,pursuer_win,0,5,0,0.029,,,,
full,hill_climb,random,11,0.15,11150,True,,pursuer_win,0,6,57,0.2332,,,,
full,hill_climb,greedy,11,0.15,11150,True,,pursuer_win,0,5,50,0.1682,,,,
full,hill_climb,beam,11,0.15,11150,True,,pursuer_win,0,5,50,0.1784,,,,
full,hill_climb,astar,11,0.15,11150,True,,pursuer_win,0,5,50,0.199,,,,
full,beam_search,random,11,0.15,11150,True,,pursuer_win,0,6,216,0.9803,,,,
full,beam_search,greedy,11,0.15,11150,True,,pursuer_win,0,5,183,0.7243,,,,
full,beam_search,beam,11,0.15,11150,True,,pursuer_win,0,5,183,0.7364,,,,
full,beam_search,astar,11,0.15,11150,True,,pursuer_win,0,5,183,0.8116,,,,
full,minimax,random,11,0.15,11151,False,,timeout,0,50,13050,21.8607,,,,
full,minimax,greedy,11,0.15,11151,False,,timeout,0,50,9753,17.8952,,,,
full,minimax,beam,11,0.15,11151,False,,timeout,0,50,16577,27.4903,,,,
full,minimax,astar,11,0.15,11151,False,,timeout,0,50,16577,27.2208,,,,
full,alpha_beta,random,11,0.15,11151,False,,timeout,0,50,7084,12.9884,,,,
full,alpha_beta,greedy,11,0.15,11151,False,,timeout,0,50,5061,9.8688,,,,
full,alpha_beta,beam,11,0.15,11151,False,,timeout,0,50,7999,14.978,,,,
full,alpha_beta,astar,11,0.15,11151,False,,timeout,0,50,7999,18.0438,,,,
full,expectimax,random,11,0.15,11151,False,,timeout,0,50,13050,36.7806,,,,
full,expectimax,greedy,11,0.15,11151,False,,timeout,0,50,9753,33.8474,,,,
full,expectimax,beam,11,0.15,11151,False,,pursuer_win,0,21,6605,14.6839,,,,
full,expectimax,astar,11,0.15,11151,False,,pursuer_win,0,21,6605,15.1377,,,,
full,lrta,random,11,0.15,11151,False,,pursuer_win,0,14,0,0.067,,,,
full,lrta,greedy,11,0.15,11151,False,,agent_win,1,21,0,0.0937,,,,
full,lrta,beam,11,0.15,11151,False,,pursuer_win,0,14,0,0.0742,,,,
full,lrta,astar,11,0.15,11151,False,,pursuer_win,0,10,0,0.0523,,,,
full,hill_climb,random,11,0.15,11151,False,,timeout,0,50,99,0.3556,,,,
full,hill_climb,greedy,11,0.15,11151,False,,timeout,0,50,99,0.3425,,,,
full,hill_climb,beam,11,0.15,11151,False,,timeout,0,50,99,0.3908,,,,
full,hill_climb,astar,11,0.15,11151,False,,pursuer_win,0,12,42,0.1679,,,,
full,beam_search,random,11,0.15,11151,False,,pursuer_win,0,11,349,1.3098,,,,
full,beam_search,greedy,11,0.15,11151,False,,agent_win,1,19,448,1.685,,,,
full,beam_search,beam,11,0.15,11151,False,,pursuer_win,0,12,369,1.4488,,,,
full,beam_search,astar,11,0.15,11151,False,,pursuer_win,0,9,303,1.1417,,,,
full,minimax,random,11,0.15,11151,True,,timeout,0,50,12210,19.9469,,,,
full,minimax,greedy,11,0.15,11151,True,,timeout,0,50,10824,17.8208,,,,
full,minimax,beam,11,0.15,11151,True,,agent_win,1,35,13469,22.922,,,,
full,minimax,astar,11,0.15,11151,True,,agent_win,1,35,13469,22.0961,,,,
full,alpha_beta,random,11,0.15,11151,True,,timeout,0,50,6295,10.9904,,,,
full,alpha_beta,greedy,11,0.15,11151,True,,timeout,0,50,5005,9.3878,,,,
full,alpha_beta,beam,11,0.15,11151,True,,agent_win,1,35,6225,12.6099,,,,
full,alpha_beta,astar,11,0.15,11151,True,,agent_win,1,35,6225,12.2256,,,,
full,expectimax,random,11,0.15,11151,True,,timeout,0,50,12678,29.1642,,,,
full,expectimax,greedy,11,0.15,11151,True,,timeout,0,50,10824,25.0877,,,,
full,expectimax,beam,11,0.15,11151,True,,timeout,0,50,16923,36.7108,,,,
full,expectimax,astar,11,0.15,11151,True,,timeout,0,50,16923,36.4957,,,,
full,lrta,random,11,0.15,11151,True,,pursuer_win,0,12,0,0.068,,,,
full,lrta,greedy,11,0.15,11151,True,,agent_win,1,25,0,0.122,,,,
full,lrta,beam,11,0.15,11151,True,,pursuer_win,0,18,0,0.1024,,,,
full,lrta,astar,11,0.15,11151,True,,pursuer_win,0,13,0,0.072,,,,
full,hill_climb,random,11,0.15,11151,True,,agent_win,1,35,150,0.591,,,,
full,hill_climb,greedy,11,0.15,11151,True,,pursuer_win,0,43,111,0.4324,,,,
full,hill_climb,beam,11,0.15,11151,True,,pursuer_win,0,46,93,0.389,,,,
full,hill_climb,astar,11,0.15,11151,True,,pursuer_win,0,18,51,0.2207,,,,
full,beam_search,random,11,0.15,11151,True,,agent_win,1,19,458,1.7275,,,,
full,beam_search,greedy,11,0.15,11151,True,,agent_win,1,23,635,2.4394,,,,
full,beam_search,beam,11,0.15,11151,True,,pursuer_win,0,15,531,2.0812,,,,
full,beam_search,astar,11,0.15,11151,True,,pursuer_win,0,12,454,1.8329,,,,
full,minimax,random,11,0.15,11152,False,,agent_win,1,35,12592,22.1017,,,,
full,minimax,greedy,11,0.15,11152,False,,timeout,0,50,17553,29.0662,,,,
full,minimax,beam,11,0.15,11152,False,,timeout,0,50,18362,29.648,,,,
full,minimax,astar,11,0.15,11152,False,,timeout,0,50,18362,34.4594,,,,
full,alpha_beta,random,11,0.15,11152,False,,agent_win,1,35,5306,10.1072,,,,
full,alpha_beta,greedy,11,0.15,11152,False,,timeout,0,50,7256,13.482,,,,
full,alpha_beta,beam,11,0.15,11152,False,,timeout,0,50,7959,14.4007,,,,
full,alpha_beta,astar,11,0.15,11152,False,,timeout,0,50,7959,14.5175,,,,
full,expectimax,random,11,0.15,11152,False,,agent_win,1,31,11164,23.4212,,,,
full,expectimax,greedy,11,0.15,11152,False,,timeout,0,50,19705,43.8607,,,,
full,expectimax,beam,11,0.15,11152,False,,timeout,0,50,15346,35.9396,,,,
full,expectimax,astar,11,0.15,11152,False,,timeout,0,50,15346,33.3011,,,,
full,lrta,random,11,0.15,11152,False,,agent_win,1,21,0,0.1007,,,,
full,lrta,greedy,11,0.15,11152,False,,pursuer_win,0,17,0,0.0756,,,,
full,lrta,beam,11,0.15,11152,False,,pursuer_win,0,14,0,0.0793,,,,
full,lrta,astar,11,0.15,11152,False,,pursuer_win,0,14,0,0.0748,,,,
full,hill_climb,random,11,0.15,11152,False,,timeout,0,50,187,0.7599,,,,
full,hill_climb,greedy,11,0.15,11152,False,,pursuer_win,0,18,139,0.5561,,,,
full,hill_climb,beam,11,0.15,11152,False,,pursuer_win,0,14,133,0.5377,,,,
full,hill_climb,astar,11,0.15,11152,False,,pursuer_win,0,14,133,0.5477,,,,
full,beam_search,random,11,0.15,11152,False,,agent_win,1,19,441,1.6722,,,,
full,beam_search,greedy,11,0.15,11152,False,,pursuer_win,0,14,396,1.5048,,,,
full,beam_search,beam,11,0.15,11152,False,,pursuer_win,0,13,382,1.4382,,,,
full,beam_search,astar,11,0.15,11152,False,,pursuer_win,0,13,382,1.4528,,,,
full,minimax,random,11,0.15,11152,True,,timeout,0,50,18610,31.017,,,,
full,minimax,greedy,11,0.15,11152,True,,timeout,0,50,19353,31.905,,,,
full,minimax,beam,11,0.15,11152,True,,timeout,0,50,20763,34.4002,,,,
full,minimax,astar,11,0.15,11152,True,,timeout,0,50,20763,34.2717,,,,
full,alpha_beta,random,11,0.15,11152,True,,timeout,0,50,7430,14.0976,,,,
full,alpha_beta,greedy,11,0.15,11152,True,,timeout,0,50,8073,16.4302,,,,
full,alpha_beta,beam,11,0.15,11152,True,,timeout,0,50,8567,15.6655,,,,
full,alpha_beta,astar,11,0.15,11152,True,,timeout,0,50,8567,15.7458,,,,
full,expectimax,random,11,0.15,11152,True,,timeout,0,50,18610,39.5328,,,,
full,expectimax,greedy,11,0.15,11152,True,,timeout,0,50,15117,32.2689,,,,
full,expectimax,beam,11,0.15,11152,True,,timeout,0,50,15067,32.5468,,,,
full,expectimax,astar,11,0.15,11152,True,,timeout,0,50,15067,34.4823,,,,
full,lrta,random,11,0.15,11152,True,,agent_win,1,21,0,0.1084,,,,
full,lrta,greedy,11,0.15,11152,True,,pursuer_win,0,15,0,0.0705,,,,
full,lrta,beam,11,0.15,11152,True,,pursuer_win,0,14,0,0.0818,,,,
full,lrta,astar,11,0.15,11152,True,,pursuer_win,0,14,0,0.0823,,,,
full,hill_climb,random,11,0.15,11152,True,,timeout,0,50,187,0.9251,,,,
full,hill_climb,greedy,11,0.15,11152,True,,pursuer_win,0,15,135,0.5025,,,,
full,hill_climb,beam,11,0.15,11152,True,,pursuer_win,0,14,133,0.5221,,,,
full,hill_climb,astar,11,0.15,11152,True,,pursuer_win,0,14,133,0.5518,,,,
full,beam_search,random,11,0.15,11152,True,,agent_win,1,19,431,1.6003,,,,
full,beam_search,greedy,11,0.15,11152,True,,pursuer_win,0,14,396,1.4376,,,,
full,beam_search,beam,11,0.15,11152,True,,pursuer_win,0,13,382,1.5554,,,,
full,beam_search,astar,11,0.15,11152,True,,pursuer_win,0,13,382,1.6973,,,,
full,minimax,random,11,0.15,11153,False,,agent_win,1,22,10604,16.3734,,,,
full,minimax,greedy,11,0.15,11153,False,,agent_win,1,19,8723,13.8735,,,,
full,minimax,beam,11,0.15,11153,False,,agent_win,1,19,7740,13.0803,,,,
full,minimax,astar,11,0.15,11153,False,,agent_win,1,19,7740,12.4824,,,,
full,alpha_beta,random,11,0.15,11153,False,,agent_win,1,22,4280,8.0185,,,,
full,alpha_beta,greedy,11,0.15,11153,False,,agent_win,1,19,3688,6.9703,,,,
full,alpha_beta,beam,11,0.15,11153,False,,agent_win,1,19,3470,6.0875,,,,
full,alpha_beta,astar,11,0.15,11153,False,,agent_win,1,19,3470,5.9679,,,,
full,expectimax,random,11,0.15,11153,False,,timeout,0,50,13756,28.6566,,,,
full,expectimax,greedy,11,0.15,11153,False,,timeout,0,50,13358,28.2929,,,,
full,expectimax,beam,11,0.15,11153,False,,timeout,0,50,12607,31.1461,,,,
full,expectimax,astar,11,0.15,11153,False,,agent_win,1,30,9954,21.4982,,,,
full,lrta,random,11,0.15,11153,False,,agent_win,1,21,0,0.1138,,,,
full,lrta,greedy,11,0.15,11153,False,,pursuer_win,0,6,0,0.0297,,,,
full,lrta,beam,11,0.15,11153,False,,pursuer_win,0,6,0,0.0335,,,,
full,lrta,astar,11,0.15,11153,False,,pursuer_win,0,6,0,0.0487,,,,
full,hill_climb,random,11,0.15,11153,False,,timeout,0,50,187,0.779,,,,
full,hill_climb,greedy,11,0.15,11153,False,,pursuer_win,0,6,81,0.3323,,,,
full,hill_climb,beam,11,0.15,11153,False,,pursuer_win,0,6,81,0.3384,,,,
full,hill_climb,astar,11,0.15,11153,False,,pursuer_win,0,6,81,0.3372,,,,
full,beam_search,random,11,0.15,11153,False,,agent_win,1,19,440,1.7285,,,,
full,beam_search,greedy,11,0.15,11153,False,,pursuer_win,0,6,221,0.8427,,,,
full,beam_search,beam,11,0.15,11153,False,,pursuer_win,0,6,221,0.8685,,,,
full,beam_search,astar,11,0.15,11153,False,,pursuer_win,0,6,221,0.8081,,,,
full,minimax,random,11,0.15,11153,True,,timeout,0,50,18925,30.0379,,,,
full,minimax,greedy,11,0.15,11153,True,,agent_win,1,19,8436,13.5913,,,,
full,minimax,beam,11,0.15,11153,True,,agent_win,1,21,9204,14.8328,,,,
full,minimax,astar,11,0.15,11153,True,,agent_win,1,21,9204,14.8019,,,,
full,alpha_beta,random,11,0.15,11153,True,,timeout,0,50,9361,17.2028,,,,
full,alpha_beta,greedy,11,0.15,11153,True,,agent_win,1,19,3753,6.9519,,,,
full,alpha_beta,beam,11,0.15,11153,True,,agent_win,1,21,4027,7.5428,,,,
full,alpha_beta,astar,11,0.15,11153,True,,agent_win,1,21,4027,7.5039,,,,
full,expectimax,random,11,0.15,11153,True,,timeout,0,50,18916,39.8728,,,,
full,expectimax,greedy,11,0.15,11153,True,,timeout,0,50,19046,40.9333,,,,
full,expectimax,beam,11,0.15,11153,True,,agent_win,1,32,8922,19.6495,,,,
full,expectimax,astar,11,0.15,11153,True,,agent_win,1,32,8922,20.1934,,,,
full,lrta,random,11,0.15,11153,True,,pursuer_win,0,7,0,0.0387,,,,
full,lrta,greedy,11,0.15,11153,True,,pursuer_win,0,6,0,0.0295,,,,
full,lrta,beam,11,0.15,11153,True,,pursuer_win,0,6,0,0.0351,,,,
full,lrta,astar,11,0.15,11153,True,,pursuer_win,0,6,0,0.0337,,,,
full,hill_climb,random,11,0.15,11153,True,,pursuer_win,0,7,91,0.3804,,,,
full,hill_climb,greedy,11,0.15,11153,True,,pursuer_win,0,6,81,0.3271,,,,
full,hill_climb,beam,11,0.15,11153,True,,pursuer_win,0,6,81,0.3481,,,,
full,hill_climb,astar,11,0.15,11153,True,,pursuer_win,0,6,81,0.3498,,,,
full,beam_search,random,11,0.15,11153,True,,pursuer_win,0,7,252,0.9887,,,,
full,beam_search,greedy,11,0.15,11153,True,,pursuer_win,0,6,222,0.8428,,,,
full,beam_search,beam,11,0.15,11153,True,,pursuer_win,0,6,222,0.8723,,,,
full,beam_search,astar,11,0.15,11153,True,,pursuer_win,0,6,222,0.8645,,,,
full,minimax,random,11,0.15,11154,False,,agent_win,1,30,11279,18.6464,,,,
full,minimax,greedy,11,0.15,11154,False,,agent_win,1,19,6016,10.0578,,,,
full,minimax,beam,11,0.15,11154,False,,agent_win,1,19,6222,10.5213,,,,
full,minimax,astar,11,0.15,11154,False,,agent_win,1,19,5853,9.7014,,,,
full,alpha_beta,random,11,0.15,11154,False,,agent_win,1,30,4854,9.2479,,,,
full,alpha_beta,greedy,11,0.15,11154,False,,agent_win,1,19,2691,5.0258,,,,
full,alpha_beta,beam,11,0.15,11154,False,,agent_win,1,19,2739,5.1756,,,,
full,alpha_beta,astar,11,0.15,11154,False,,agent_win,1,19,2696,5.0828,,,,
full,expectimax,random,11,0.15,11154,False,,agent_win,1,49,14983,31.8946,,,,
full,expectimax,greedy,11,0.15,11154,False,,timeout,0,50,12563,27.8152,,,,
full,expectimax,beam,11,0.15,11154,False,,agent_win,1,19,6182,13.378,,,,
full,expectimax,astar,11,0.15,11154,False,,agent_win,1,21,6072,13.5298,,,,
full,lrta,random,11,0.15,11154,False,,pursuer_win,0,13,0,0.0643,,,,
full,lrta,greedy,11,0.15,11154,False,,pursuer_win,0,6,0,0.0271,,,,
full,lrta,beam,11,0.15,11154,False,,pursuer_win,0,6,0,0.0334,,,,
full,lrta,astar,11,0.15,11154,False,,pursuer_win,0,6,0,0.0313,,,,
full,hill_climb,random,11,0.15,11154,False,,pursuer_win,0,13,130,0.5241,,,,
full,hill_climb,greedy,11,0.15,11154,False,,pursuer_win,0,6,81,0.3371,,,,
full,hill_climb,beam,11,0.15,11154,False,,pursuer_win,0,6,81,0.3253,,,,
full,hill_climb,astar,11,0.15,11154,False,,pursuer_win,0,6,81,0.3252,,,,
full,beam_search,random,11,0.15,11154,False,,pursuer_win,0,12,407,1.4748,,,,
full,beam_search,greedy,11,0.15,11154,False,,pursuer_win,0,6,245,0.9546,,,,
