mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,random,11,0.15,11150,False,,timeout,0,50,15236,25.0364,,,,
full,minimax,greedy,11,0.15,11150,False,,agent_win,1,19,9103,16.0232,,,,
full,minimax,beam,11,0.15,11150,False,,agent_win,1,19,9006,14.9452,,,,
full,minimax,astar,11,0.15,11150,False,,agent_win,1,19,9006,16.0006,,,,
full,alpha_beta,random,11,0.15,11150,False,,timeout,0,50,8036,14.6742,,,,
full,alpha_beta,greedy,11,0.15,11150,False,,agent_win,1,19,3827,7.2182,,,,
full,alpha_beta,beam,11,0.15,11150,False,,agent_win,1,19,3809,7.1785,,,,
full,alpha_beta,astar,11,0.15,11150,False,,agent_win,1,19,3784,7.0587,,,,
full,expectimax,random,11,0.15,11150,False,,timeout,0,50,15233,32.137,,,,
full,expectimax,greedy,11,0.15,11150,False,,agent_win,1,19,8410,17.4439,,,,
full,expectimax,beam,11,0.15,11150,False,,agent_win,1,19,8520,17.6623,,,,
full,expectimax,astar,11,0.15,11150,False,,agent_win,1,19,8575,18.5695,,,,
full,lrta,random,11,0.15,11150,False,,agent_win,1,25,0,0.1229,,,,
full,lrta,greedy,11,0.15,11150,False,,pursuer_win,0,5,0,0.0313,,,,
full,lrta,beam,11,0.15,11150,False,,pursuer_win,0,5,0,0.0323,,,,
full,lrta,astar,11,0.15,11150,False,,pursuer_win,0,5,0,0.0308,,,,
full,hill_climb,random,11,0.15,11150,False,,timeout,0,50,135,0.4422,,,,
full,hill_climb,greedy,11,0.15,11150,False,,pursuer_win,0,5,50,0.1907,,,,
full,hill_climb,beam,11,0.15,11150,False,,pursuer_win,0,5,50,0.1902,,,,
full,hill_climb,astar,11,0.15,11150,False,,pursuer_win,0,5,50,0.206,,,,
full,beam_search,random,11,0.15,11150,False,,agent_win,1,19,427,1.5038,,,,
full,beam_search,greedy,11,0.15,11150,False,,pursuer_win,0,5,183,0.6242,,,,
full,beam_search,beam,11,0.15,11150,False,,pursuer_win,0,5,183,0.7143,,,,
full,beam_search,astar,11,0.15,11150,False,,pursuer_win,0,5,183,0.6252,,,,
full,minimax,random,11,0.15,11150,True,,agent_win,1,19,8726,13.8613,,,,
full,minimax,greedy,11,0.15,11150,True,,agent_win,1,19,8830,18.828,,,,
full,minimax,beam,11,0.15,11150,True,,agent_win,1,19,9031,20.4039,,,,
full,minimax,astar,11,0.15,11150,True,,agent_win,1,19,9031,17.9228,,,,
full,alpha_beta,random,11,0.15,11150,True,,agent_win,1,19,3775,9.3413,,,,
full,alpha_beta,greedy,11,0.15,11150,True,,agent_win,1,19,3748,6.9397,,,,
full,alpha_beta,beam,11,0.15,11150,True,,agent_win,1,19,3843,8.1202,,,,
full,alpha_beta,astar,11,0.15,11150,True,,agent_win,1,19,3843,9.9558,,,,
full,expectimax,random,11,0.15,11150,True,,agent_win,1,44,16924,38.4348,,,,
full,expectimax,greedy,11,0.15,11150,True,,agent_win,1,19,9126,20.5959,,,,
full,expectimax,beam,11,0.15,11150,True,,agent_win,1,19,9115,20.8654,,,,
