mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,astar,False,,11,0.15,2,0.5,34.5,21.9203,11.8246,6.74,5891.5,,,
full,alpha_beta,astar,False,,11,0.25,2,0.5,21,7.0711,5.3141,1.9856,2836.5,,,
full,alpha_beta,astar,False,,13,0.15,2,0.5,39.5,14.8492,13.181,5.5434,7016.5,,,
full,alpha_beta,astar,False,,13,0.25,2,0,35,21.2132,8.3484,3.9505,4410,,,
full,alpha_beta,astar,True,,11,0.15,2,1,27,11.3137,11.1828,1.7352,5034,,,
full,alpha_beta,astar,True,,11,0.25,2,0.5,17.5,2.1213,4.8752,1.5569,2503.5,,,
full,alpha_beta,astar,True,,13,0.15,2,0.5,39.5,14.8492,14.2881,5.3497,7075.5,,,
full,alpha_beta,astar,True,,13,0.25,2,0,35,21.2132,8.9276,5.0836,4342.5,,,
full,alpha_beta,beam,False,,11,0.15,2,0.5,34.5,21.9203,11.4177,5.9951,5904,,,
full,alpha_beta,beam,False,,11,0.25,2,0.5,21,7.0711,5.1785,1.4529,2836.5,,,
full,alpha_beta,beam,False,,13,0.15,2,0.5,39.5,14.8492,13.5971,4.9316,7016.5,,,
full,alpha_beta,beam,False,,13,0.25,2,0,35,21.2132,8.6676,3.4607,4410,,,
full,alpha_beta,beam,True,,11,0.15,2,1,27,11.3137,11.0097,4.0863,5034,,,
full,alpha_beta,beam,True,,11,0.25,2,0.5,17.5,2.1213,4.5895,1.196,2461,,,
full,alpha_beta,beam,True,,13,0.15,2,0.5,39.5,14.8492,14.4222,5.5206,7075.5,,,
full,alpha_beta,beam,True,,13,0.25,2,0,35,21.2132,8.7222,4.77,4342.5,,,
full,alpha_beta,greedy,False,,11,0.15,2,0.5,34.5,21.9203,9.0546,2.5971,4444,,,
full,alpha_beta,greedy,False,,11,0.25,2,0.5,38,16.9706,8.9119,3.1053,4777.5,,,
full,alpha_beta,greedy,False,,13,0.15,2,1,28,1.4142,9.4788,0.4682,4948.5,,,
full,alpha_beta,greedy,False,,13,0.25,2,0,35,21.2132,8.7964,4.0387,4410,,,
full,alpha_beta,greedy,True,,11,0.15,2,0.5,34.5,21.9203,9.3189,3.3647,4376.5,,,
full,alpha_beta,greedy,True,,11,0.25,2,0.5,21,7.0711,4.9916,1.5624,2727,,,
full,alpha_beta,greedy,True,,13,0.15,2,1,28,1.4142,10.5078,0.5211,5095,,,
full,alpha_beta,greedy,True,,13,0.25,2,0.5,39.5,14.8492,10.0904,1.5773,5167,,,
full,alpha_beta,random,False,,11,0.15,2,0,50,0.0,15.3338,0.9329,7560,,,
full,alpha_beta,random,False,,11,0.25,2,0.5,34.5,21.9203,6.8918,3.8228,3506.5,,,
full,alpha_beta,random,False,,13,0.15,2,0,50,0.0,13.786,0.6526,6992.5,,,
full,alpha_beta,random,False,,13,0.25,2,0,50,0.0,14.3697,3.2779,7884.5,,,
full,alpha_beta,random,True,,11,0.15,2,0.5,34.5,21.9203,11.5494,3.1227,5035,,,
full,alpha_beta,random,True,,11,0.25,2,0.5,34.5,21.9203,6.3549,2.6293,3334.5,,,
full,alpha_beta,random,True,,13,0.15,2,0,50,0.0,13.7773,0.6481,7248.5,,,
full,alpha_beta,random,True,,13,0.25,2,0,50,0.0,12.6635,1.6961,6554.5,,,
full,beam_search,astar,False,,11,0.15,2,0,7,2.8284,0.9867,0.5112,243,,,
full,beam_search,astar,False,,11,0.25,2,0,13.5,0.7071,1.3299,0.1585,372,,,
full,beam_search,astar,False,,13,0.15,2,0,7.5,0.7071,1.5083,0.2735,360,,,
