mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,astar,False,,11,0.25,1,1,26,0.0,7.0394,0.0,3475,,,
full,alpha_beta,beam,False,,11,0.25,1,1,26,0.0,7.5297,0.0,3475,,,
full,alpha_beta,greedy,False,,11,0.25,1,1,26,0.0,6.9255,0.0,3632,,,
full,alpha_beta,random,False,,11,0.25,1,1,19,0.0,4.704,0.0,2243,,,
full,beam_search,astar,False,,11,0.25,1,0,14,0.0,1.3641,0.0,355,,,
full,beam_search,beam,False,,11,0.25,1,0,14,0.0,1.3625,0.0,355,,,
full,beam_search,greedy,False,,11,0.25,1,0,14,0.0,1.3048,0.0,355,,,
full,beam_search,random,False,,11,0.25,1,1,19,0.0,1.4447,0.0,396,,,
full,expectimax,astar,False,,11,0.25,1,1,19,0.0,15.4047,0.0,6728,,,
full,expectimax,beam,False,,11,0.25,1,1,28,0.0,20.0734,0.0,9171,,,
full,expectimax,greedy,False,,11,0.25,1,1,28,0.0,23.4842,0.0,8881,,,
full,expectimax,random,False,,11,0.25,1,1,19,0.0,11.6167,0.0,5083,,,
full,hill_climb,astar,False,,11,0.25,1,0,14,0.0,0.7337,0.0,189,,,
full,hill_climb,beam,False,,11,0.25,1,0,14,0.0,0.7426,0.0,189,,,
full,hill_climb,greedy,False,,11,0.25,1,0,14,0.0,0.74,0.0,189,,,
full,hill_climb,random,False,,11,0.25,1,1,19,0.0,1.0103,0.0,210,,,
full,lrta,astar,False,,11,0.25,1,0,14,0.0,0.084,0.0,0,,,
full,lrta,beam,False,,11,0.25,1,0,14,0.0,0.1262,0.0,0,,,
full,lrta,greedy,False,,11,0.25,1,0,14,0.0,0.0775,0.0,0,,,
full,lrta,random,False,,11,0.25,1,1,19,0.0,0.1326,0.0,0,,,
full,minimax,astar,False,,11,0.25,1,1,26,0.0,13.0707,0.0,7334,,,
full,minimax,beam,False,,11,0.25,1,1,26,0.0,14.9876,0.0,7334,,,
full,minimax,greedy,False,,11,0.25,1,1,26,0.0,12.5891,0.0,7472,,,
full,minimax,random,False,,11,0.25,1,1,19,0.0,8.2103,0.0,5083,,,
