mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,random,11,0.25,11250,False,,agent_win,1,19,5083,8.2103,,,,
full,minimax,greedy,11,0.25,11250,False,,agent_win,1,26,7472,12.5891,,,,
full,minimax,beam,11,0.25,11250,False,,agent_win,1,26,7334,14.9876,,,,
full,minimax,astar,11,0.25,11250,False,,agent_win,1,26,7334,13.0707,,,,
full,alpha_beta,random,11,0.25,11250,False,,agent_win,1,19,2243,4.704,,,,
full,alpha_beta,greedy,11,0.25,11250,False,,agent_win,1,26,3632,6.9255,,,,
full,alpha_beta,beam,11,0.25,11250,False,,agent_win,1,26,3475,7.5297,,,,
full,alpha_beta,astar,11,0.25,11250,False,,agent_win,1,26,3475,7.0394,,,,
full,expectimax,random,11,0.25,11250,False,,agent_win,1,19,5083,11.6167,,,,
full,expectimax,greedy,11,0.25,11250,False,,agent_win,1,28,8881,23.4842,,,,
full,expectimax,beam,11,0.25,11250,False,,agent_win,1,28,9171,20.0734,,,,
full,expectimax,astar,11,0.25,11250,False,,agent_win,1,19,6728,15.4047,,,,
full,lrta,random,11,0.25,11250,False,,agent_win,1,19,0,0.1326,,,,
full,lrta,greedy,11,0.25,11250,False,,pursuer_win,0,14,0,0.0775,,,,
full,lrta,beam,11,0.25,11250,False,,pursuer_win,0,14,0,0.1262,,,,
full,lrta,astar,11,0.25,11250,False,,pursuer_win,0,14,0,0.084,,,,
full,hill_climb,random,11,0.25,11250,False,,agent_win,1,19,210,1.0103,,,,
full,hill_climb,greedy,11,0.25,11250,False,,pursuer_win,0,14,189,0.74,,,,
full,hill_climb,beam,11,0.25,11250,False,,pursuer_win,0,14,189,0.7426,,,,
full,hill_climb,astar,11,0.25,11250,False,,pursuer_win,0,14,189,0.7337,,,,
full,beam_search,random,11,0.25,11250,False,,agent_win,1,19,396,1.4447,,,,
full,beam_search,greedy,11,0.25,11250,False,,pursuer_win,0,14,355,1.3048,,,,
full,beam_search,beam,11,0.25,11250,False,,pursuer_win,0,14,355,1.3625,,,,
full,beam_search,astar,11,0.25,11250,False,,pursuer_win,0,14,355,1.3641,,,,
